ts	X	Y	U	V
115	0	0.0020252	1.97244e-316	0.00636335
116	0	0.00205708	1.97244e-316	0.00640191
117	0	0.00208916	1.97244e-316	0.0064412
118	0	0.00212143	1.97244e-316	0.00647834
119	0	0.00215388	1.97244e-316	0.00651614
120	0	0.00218652	1.97244e-316	0.00655396
121	0	0.00221935	1.97244e-316	0.00659142
122	0	0.00225237	1.97244e-316	0.0066292
123	0	0.00228549	1.97244e-316	0.00663373
124	0	0.00231868	1.97244e-316	0.0066567
125	0	0.00235201	1.97244e-316	0.00668745
126	0	0.0023855	1.97244e-316	0.00672104
127	0	0.00241912	1.97244e-316	0.00674215
128	0	0.00245286	1.97244e-316	0.00676976
129	0	0.00248676	1.97244e-316	0.00680042
130	0	0.0025208	1.97244e-316	0.00682962
131	0	0.00255499	1.97244e-316	0.00686224
132	0	0.00258935	1.97244e-316	0.00689407
133	0	0.00262386	1.97244e-316	0.00692524
134	0	0.00265853	1.97244e-316	0.00695742
135	0	0.00269337	1.97244e-316	0.00699065
136	0	0.00272836	1.97244e-316	0.00702227
137	0	0.0027635	1.97244e-316	0.00704364
138	0	0.00279875	1.97244e-316	0.00707096
139	0	0.00283414	1.97244e-316	0.0071005
140	0	0.00286968	1.97244e-316	0.00713158
141	0	0.00290538	1.97244e-316	0.00716106
142	0	0.00294122	1.97244e-316	0.00718927
143	0	0.0029772	1.97244e-316	0.00721834
144	0	0.00301333	1.97244e-316	0.00724812
145	0	0.00304961	1.97244e-316	0.00727702
146	0	0.00308602	1.97244e-316	0.00730518
147	0	0.00312256	1.97244e-316	0.00732274
148	0	0.00315919	1.97244e-316	0.00734402
149	0	0.00319593	1.97244e-316	0.00736831
150	0	0.0032328	1.97244e-316	0.00739335
151	0	0.00326979	1.97244e-316	0.00741956
152	0	0.00330692	1.97244e-316	0.00744672
153	0	0.00334418	1.97244e-316	0.00747067
154	0	0.00338121	1.97244e-316	0.00749327
155	0	0.00341837	1.97244e-316	0.00751894
156	0	0.00345564	1.97244e-316	0.00754079
157	0	0.00349302	1.97244e-316	0.00756302
158	0	0.00353051	1.97244e-316	0.00758277
159	0	0.00356808	1.97244e-316	0.00760063
160	0	0.00360575	1.97244e-316	0.00761959
161	0	0.00364352	1.97244e-316	0.00763914
162	0	0.00368137	1.97244e-316	0.00765525
163	0	0.0037193	1.97244e-316	0.00766838
164	0	0.00375729	1.97244e-316	0.00768155
165	0	0.00379534	1.97244e-316	0.00769557
