timestep	Fx	Fy
1.075	0.699566	0.0241106
1.08	0.700211	0.024246
1.085	0.700795	0.0243163
1.09	0.701316	0.0245448
1.095	0.689091	0.0247961
1.1	0.698593	0.0244772
1.105	0.700966	0.0246234
1.11	0.703041	0.0245587
1.115	0.702884	0.0242654
1.12	0.704359	0.0103256
1.125	0.704776	0.0198381
1.13	0.704338	0.0225517
1.135	0.705486	0.0234935
1.14	0.705443	0.0244819
1.145	0.706877	0.0248273
1.15	0.707077	0.0240812
1.155	0.732572	0.0245315
1.16	0.722475	0.0241958
1.165	0.715374	0.0157736
1.17	0.713221	0.0220873
1.175	0.711199	0.0232411
1.18	0.710213	0.0232189
1.185	0.710724	0.0236224
1.19	0.711069	0.0238322
1.195	0.710348	0.0238231
1.2	0.711443	0.0238572
1.205	0.71091	0.0238599
1.21	0.711547	0.0239661
1.215	0.712006	0.0241736
1.22	0.712412	0.0238393
1.225	0.713536	0.0238363
1.23	0.713202	0.0240457
1.235	0.713504	0.0240663
1.24	0.714858	0.0243986
1.245	0.713552	0.0231094
1.25	0.714295	0.0236898
1.255	0.714628	0.0238145
1.26	0.714961	0.0240054
1.265	0.715801	0.0239041
1.27	0.716272	0.0131852
1.275	0.716926	0.00522474
1.28	0.716057	0.0187399
1.285	0.71755	0.0219972
1.29	0.716905	0.022655
1.295	0.717331	0.0233001
1.3	0.72427	0.0123446
1.305	0.720182	0.0208317
1.31	0.719008	0.0229069
1.315	0.718596	0.0231906
1.32	0.718472	0.0238966
1.325	0.719282	0.0235541
1.33	0.718787	0.0241669
1.335	0.718796	0.0235952
1.34	0.719104	0.0239545
1.345	0.718318	0.0239396
1.35	0.719557	0.0237803
1.355	0.718848	0.0238288
1.36	0.720054	0.0238095
1.365	0.719268	0.0241783
1.37	0.719965	0.0233567
1.375	0.720167	0.0202704
1.38	0.720068	0.0224546
1.385	0.720263	0.022884
1.39	0.719637	0.0125037
1.395	0.721685	0.0174913
1.4	0.720727	0.0217079
1.405	0.721008	0.0226918
1.41	0.721538	0.0233264
1.415	0.721454	0.0232932
1.42	0.722267	0.0240238
1.425	0.72123	0.0239865
1.43	0.721509	0.0226014
1.435	0.722439	0.0231952
1.44	0.722218	0.0236044
1.445	0.721408	0.023761
1.45	0.721729	0.0225381
1.455	0.721594	0.0199205
1.46	0.740086	0.0230456
1.465	0.733559	0.0225867
1.47	0.727276	0.0227571
1.475	0.724877	0.022856
1.48	0.748102	0.0225936
1.485	0.737134	0.0222145
1.49	0.72986	0.0226397
1.495	0.726252	0.0219216
1.5	0.723655	0.0219201
1.505	0.723068	0.0216425
1.51	0.72352	0.0223027
1.515	0.722221	0.0222214
1.52	0.723138	0.0213169
1.525	0.721981	0.021797
1.53	0.722913	0.021715
1.535	0.722543	0.0217837
1.54	0.738321	0.0218923
1.545	0.731157	0.021688
1.55	0.72737	0.0213471
1.555	0.724352	0.0212288
1.56	0.72319	0.0211681
1.565	0.722407	0.0211289
1.57	0.722053	0.0210579
1.575	0.721612	0.0207885
1.58	0.722494	0.0212048
1.585	0.721795	0.0208843
1.59	0.721208	0.0209152
1.595	0.721221	0.0208029
1.6	0.721895	0.0203324
1.605	0.720914	0.0205461
1.61	0.720934	0.0209194
1.615	0.721032	0.0204421
1.62	0.720629	0.0203441
1.625	0.720925	0.0206738
1.63	0.721245	0.0203712
1.635	0.720273	0.0204674
1.64	0.720344	0.0203951
1.645	0.720423	0.0206019
1.65	0.721236	0.0203406
1.655	0.720017	0.020143
1.66	0.720499	0.0203261
1.665	0.719734	0.020156
1.67	0.719785	0.02005
1.675	0.719392	0.0200112
1.68	0.719379	0.0200904
1.685	0.720433	0.0200039
1.69	0.719163	0.0198409
1.695	0.719523	0.01985
1.7	0.719092	0.0198203
1.705	0.719068	0.0195282
1.71	0.718792	0.0196109
1.715	0.718681	0.0196255
1.72	0.718547	0.0198668
1.725	0.718396	0.0190805
1.73	0.71823	0.0191949
1.735	0.718147	0.0193852
1.74	0.717671	0.0195223
1.745	0.717939	0.0192174
1.75	0.717601	0.0189318
1.755	0.717452	0.0192193
1.76	0.717292	0.0184561
1.765	0.716862	0.0186902
1.77	0.717095	0.0186903
1.775	0.716543	0.0188654
1.78	0.716708	0.0189066
1.785	0.716478	0.0187104
1.79	0.716027	0.0182242
1.795	0.716171	0.0181025
1.8	0.715681	0.0183315
1.805	0.715589	0.0184073
1.81	0.715671	0.0178711
1.815	0.715388	0.0179104
1.82	0.715211	0.0176002
1.825	0.714742	0.0175739
1.83	0.714843	0.0179085
1.835	0.71454	0.0177194
1.84	0.714347	0.0178248
1.845	0.71414	0.0172551
1.85	0.713919	0.0177061
1.855	0.713717	0.0172055
1.86	0.713576	0.0169675
1.865	0.71332	0.0171755
1.87	0.713074	0.0170431
1.875	0.712881	0.0168504
1.88	0.712673	0.0171584
1.885	0.712235	0.0164147
1.89	0.712109	0.0164081
1.895	0.712174	0.0166806
1.9	0.711897	0.0167861
1.905	0.711664	0.0160381
1.91	0.711102	0.0160719
1.915	0.710999	0.0162367
1.92	0.711139	0.0160828
1.925	0.710821	0.0157553
1.93	0.710239	0.0157103
1.935	0.710346	0.0158518
1.94	0.709935	0.0157047
1.945	0.709902	0.0155323
1.95	0.709659	0.0154978
1.955	0.709314	0.0153951
1.96	0.708855	0.015324
1.965	0.708735	0.0151139
1.97	0.708557	0.0149504
1.975	0.708588	0.0146416
1.98	0.70824	0.0147662
1.985	0.708018	0.0146369
1.99	0.707441	0.0144705
1.995	0.707541	0.0142967
2	0.707028	0.0144858
2.005	0.707091	0.0139521
2.01	0.706843	0.013622
2.015	0.70624	0.0140896
2.02	0.706342	0.013669
2.025	0.70605	0.0135233
2.03	0.705541	0.0134588
2.035	0.705602	0.0133868
2.04	0.705087	0.0133559
2.045	0.705151	0.0130372
2.05	0.704817	0.0128646
2.055	0.704547	0.0127715
2.06	0.704282	0.0126868
2.065	0.703744	0.0124815
2.07	0.703583	0.0123562
2.075	0.703137	0.0123973
2.08	0.703146	0.0118738
2.085	0.703151	0.01202
2.09	0.703421	0.0118154
2.095	0.702236	0.0118987
2.1	0.702757	0.0116665
2.105	0.70232	0.0111448
2.11	0.701978	0.0114994
2.115	0.70158	0.011125
2.12	0.700678	0.0108221
2.125	0.701075	0.0109071
2.13	0.700168	0.0108209
2.135	0.700816	0.0105907
2.14	0.699788	0.0104573
2.145	0.700386	0.010032
2.15	0.699967	0.0102557
2.155	0.698973	0.0100073
2.16	0.699824	0.0104121
2.165	0.699318	0.00980097
2.17	0.698259	0.00937702
2.175	0.697937	0.00949605
2.18	0.698173	0.00905744
2.185	0.698323	0.00916308
2.19	0.697596	0.00878052
2.195	0.697079	0.00866947
2.2	0.697252	0.00848836
2.205	0.680043	0.00809647
2.21	0.687918	0.00865381
2.215	0.691873	0.00837229
2.22	0.693827	0.00802648
2.225	0.694723	0.00816551
2.23	0.695076	0.00807428
2.235	0.695925	0.00771241
2.24	0.69471	0.00745786
2.245	0.695492	0.00738456
2.25	0.695024	0.00755741
2.255	0.694695	0.00690603
2.26	0.671781	0.00726506
2.265	0.682894	0.00682391
2.27	0.68803	0.00683088
2.275	0.672602	0.00619111
2.28	0.681946	0.0097263
2.285	0.688314	0.00814643
2.29	0.689142	0.00719023
2.295	0.690454	0.00678997
2.3	0.693218	0.00605626
2.305	0.692213	0.00626936
2.31	0.690731	0.00630731
2.315	0.692328	0.00564155
2.32	0.691716	0.00588217
2.325	0.692368	0.00521195
2.33	0.689623	0.00638097
2.335	0.691178	0.0165019
2.34	0.689039	0.00787654
2.345	0.689483	0.0101686
2.35	0.689518	0.0063414
2.355	0.688591	0.00456702
2.36	0.6894	0.00414998
2.365	0.688378	0.00415027
2.37	0.688948	0.0038722
2.375	0.6887	0.00346564
2.38	0.688638	0.0031203
2.385	0.689748	0.00264368
2.39	0.689241	0.0031805
2.395	0.688821	0.00234361
2.4	0.686269	0.0030854
2.405	0.680546	0.0137359
2.41	0.685609	0.00412312
2.415	0.686029	0.00305564
2.42	0.685304	0.00194529
2.425	0.686312	0.0237534
2.43	0.685285	0.00841936
2.435	0.684725	0.00379987
2.44	0.685182	0.00218519
2.445	0.684858	0.000983709
2.45	0.684695	0.00102123
2.455	0.684805	0.000374911
2.46	0.683552	2.41417e-05
2.465	0.684061	0.000602628
2.47	0.683232	-0.000886654
2.475	0.683422	5.87423e-06
2.48	0.683471	-0.00113568
2.485	0.683323	-0.00120172
2.49	0.683149	-0.0012725
2.495	0.683657	-0.00172737
2.5	0.683135	-0.00154722
2.505	0.683319	0.00613287
2.51	0.660095	-0.000494421
2.515	0.670111	-0.0016955
2.52	0.675633	-0.00194122
2.525	0.678282	-0.00213462
2.53	0.681978	-0.00194735
2.535	0.679927	-0.00315544
2.54	0.681732	0.00713406
2.545	0.68082	0.00120944
2.55	0.680997	-0.00142393
2.555	0.686313	-0.00267416
2.56	0.684191	-0.00333748
2.565	0.681615	-0.00368594
2.57	0.681184	-0.00427908
2.575	0.680078	-0.00387845
2.58	0.679048	-0.00464798
2.585	0.67879	-0.00446793
2.59	0.679207	-0.00517261
2.595	0.678016	-0.00530374
2.6	0.67798	-0.00533303
2.605	0.677845	-0.00546941
2.61	0.677687	-0.00578843
2.615	0.677579	-0.00665272
2.62	0.688457	-0.00609043
2.625	0.683075	0.00395016
2.63	0.679178	4.86789e-05
2.635	0.67845	-0.00196251
2.64	0.675974	-0.00481724
2.645	0.676365	-0.00604224
2.65	0.67555	-0.00729764
2.655	0.69145	-0.00736992
2.66	0.685292	-0.0067738
2.665	0.680411	-0.00683714
2.67	0.677239	-0.00794524
2.675	0.675882	0.00145826
2.68	0.674495	-0.00319827
2.685	0.673937	-0.00653145
2.69	0.673997	-0.00775586
2.695	0.674234	-0.00808503
2.7	0.658813	-0.0087901
2.705	0.665481	-0.00970239
