timestep	Fx	Fy
0.005	87.2746	0.026691
0.01	44.7184	-0.050153
0.015	23.5681	0.0477097
0.02	12.7642	0.0376624
0.025	7.24347	0.0341204
0.03	4.40555	0.030009
0.035	2.9292	0.0285069
0.04	2.14852	0.0279398
0.045	1.72562	0.0269337
0.05	1.48589	0.027321
0.055	1.3425	0.0266836
0.06	1.25011	0.0268364
0.065	1.18585	0.0267647
0.07	1.13772	0.0263041
0.075	1.09863	0.0263974
0.08	1.06625	0.0268095
0.085	1.03749	0.02627
0.09	1.01225	0.0268752
0.095	0.989138	0.0266949
0.1	0.968554	0.0262784
0.105	0.949278	0.0260471
0.11	0.931646	0.0261423
0.115	0.91482	0.0261599
0.12	0.899617	0.0254973
0.125	0.885067	0.0258937
0.13	0.870834	0.0236124
0.135	0.858631	0.0252027
0.14	0.84695	0.0253879
0.145	0.835951	0.0252512
0.15	0.825915	0.0260562
0.155	0.815944	0.0248434
0.16	0.806354	0.0254923
0.165	0.797267	0.0257998
0.17	0.789165	0.0255445
0.175	0.781149	0.0254947
0.18	0.773565	0.0255483
0.185	0.711825	0.0257793
0.19	0.73376	0.0249762
0.195	0.740877	0.0247512
0.2	0.741181	0.0245317
0.205	0.738337	0.0243884
0.21	0.734662	0.0248401
0.215	0.730205	0.0246352
0.22	0.725343	0.0241589
0.225	0.720784	0.0249388
0.23	0.71633	0.0235027
0.235	0.711889	0.0241124
0.24	0.708187	0.0245455
0.245	0.704085	0.024656
0.25	0.700106	0.024722
0.255	0.696467	0.0248111
0.26	0.692623	0.0248837
0.265	0.689598	0.0253232
0.27	0.686327	0.0244951
0.275	0.683374	0.0248409
0.28	0.680149	0.025218
0.285	0.677739	0.0251159
0.29	0.674832	0.0252768
0.295	0.671778	0.0258625
0.3	0.66965	0.0250375
0.305	0.667336	0.0249485
0.31	0.665512	0.0197026
0.315	0.663748	0.0228639
0.32	0.661128	0.0244948
0.325	0.660008	0.025207
0.33	0.657851	0.0254598
0.335	0.656143	0.0261053
0.34	0.654935	0.0253917
0.345	0.65317	0.0259851
0.35	0.651451	0.0254825
0.355	0.650251	0.026004
0.36	0.648848	0.0256398
0.365	0.648107	0.0203189
0.37	0.646082	0.0226004
0.375	0.644994	0.0243234
0.38	0.644023	0.0252606
0.385	0.643081	0.0260456
0.39	0.642173	0.0264373
0.395	0.640546	0.0253244
0.4	0.640223	0.0253794
0.405	0.639686	0.0259787
0.41	0.639086	0.026121
0.415	0.637981	0.0264334
0.42	0.608224	0.0265729
0.425	0.62274	0.0266199
0.43	0.629631	0.026522
0.435	0.632741	0.0260536
0.44	0.644725	0.0259862
0.445	0.640068	0.0263271
0.45	0.637497	0.0260801
0.455	0.636131	0.0262748
0.46	0.635241	0.0261577
0.465	0.63481	0.0262494
0.47	0.634433	0.0258018
0.475	0.634267	0.0261493
0.48	0.634153	0.0262843
0.485	0.63404	0.0263002
0.49	0.634013	0.0264771
0.495	0.633826	0.0266067
0.5	0.63392	0.0267014
0.505	0.633993	0.0264103
0.51	0.634087	0.0263571
0.515	0.63417	0.0266449
0.52	0.6343	0.0267409
0.525	0.634445	0.0268849
0.53	0.634637	0.0271101
0.535	0.634827	0.027087
0.54	0.635059	0.0275042
0.545	0.635239	0.027067
0.55	0.63555	0.0272368
0.555	0.636305	0.0271022
0.56	0.636347	0.0274147
0.565	0.63619	0.0276272
0.57	0.636677	0.0273616
0.575	0.637032	0.0276622
0.58	0.637484	0.0276512
0.585	0.637956	0.0279006
0.59	0.638105	0.0280602
0.595	0.638687	0.0275458
0.6	0.639156	0.0276073
0.605	0.639634	0.0279644
0.61	0.640475	0.0283749
0.615	0.640597	0.0276718
0.62	0.641056	0.0278098
0.625	0.641563	0.0280872
0.63	0.642084	0.0283039
0.635	0.642608	0.0282875
0.64	0.643147	0.0283892
