#timestep, Fx, Fy
0.182, -0.26661, 3.53878e-05
0.183, -0.27384, 5.55998e-05
0.184, -0.263538, 5.29175e-05
0.185, -0.263048, 8.67526e-05
0.186, -0.256825, 0.00042568
0.187, -0.277311, 0.000649905
0.188, -0.281229, 1.8078e-05
0.189, -0.305759, 7.97167e-05
0.19, -0.28921, 0.00092803
0.191, -0.2963, -1.6307e-05
0.192, -0.287635, -8.10974e-05
0.193, -0.296078, -2.3285e-05
0.194, -0.315206, 0.000148566
0.195, -0.324157, 4.39941e-05
0.196, -0.329964, 0.000372241
0.197, -0.314802, 0.000796083
0.198, -0.32662, -9.90879e-05
0.199, -0.319592, -0.000122794
0.2, -0.32674, 0.000105627
0.201, -0.332894, 0.000352027
0.202, -0.344045, 0.000132149
0.203, -0.35758, 0.000269546
0.204, -0.357614, 0.000372857
0.205, -0.349289, 0.00107413
0.206, -0.363659, -0.000113439
0.207, -0.357513, -0.000228267
0.208, -0.356927, 0.000273626
0.209, -0.361729, 2.32085e-05
0.21, -0.373029, 0.000277378
0.211, -0.375177, 0.000429567
0.212, -0.396079, 9.00943e-05
0.213, -0.398215, 0.000184998
0.214, -0.387835, 0.00116877
0.215, -0.390754, -9.13162e-05
0.216, -0.398784, 3.13313e-05
0.217, -0.400868, -9.90215e-05
0.218, -0.395721, 5.04392e-05
0.219, -0.406182, 0.000320646
0.22, -0.409125, 0.000431877
0.221, -0.408622, 0.000251456
0.222, -0.412275, 0.0005061
0.223, -0.438067, 0.000157091
0.224, -0.437245, 9.83599e-05
0.225, -0.42931, 0.000203929
0.226, -0.431763, 0.000139338
0.227, -0.432979, 0.000191073
0.228, -0.440815, -0.000109069
0.229, -0.439285, 0.000270439
0.23, -0.449382, 0.000254413
0.231, -0.454662, -2.37862e-05
0.232, -0.451578, 0.000243697
0.233, -0.453059, 0.000660249
0.234, -0.45655, 0.00161668
0.235, -0.465502, 9.4834e-05
0.236, -0.459747, 0.000326183
0.237, -0.469029, 0.000557542
0.238, -0.457705, 0.000410357
0.239, -0.474773, 0.00038846
0.24, -0.478153, 0.000470353
0.241, -0.478923, 0.000251035
0.242, -0.488472, -4.02349e-05
0.243, -0.475644, 0.000192324
0.244, -0.480997, 0.000170991
0.245, -0.506816, 0.000279527
0.246, -0.513916, 0.000116709
0.247, -0.501964, 0.000307683
0.248, -0.510511, 0.000382381
0.249, -0.504352, 0.000380567
0.25, -0.506084, 0.000377871
0.251, -0.50863, 0.000380969
0.252, -0.511601, 0.00035905
0.253, -0.514836, 0.000353278
0.254, -0.518121, 0.000347921
0.255, -0.521359, 0.000360506
0.256, -0.528745, 0.000314539
0.257, -0.518846, 0.000315991
0.258, -0.530888, 0.000338309
0.259, -0.519103, 0.000545003
0.26, -0.505015, 0.000304019
0.261, -0.523188, 0.000565715
0.262, -0.545248, 0.000445746
0.263, -0.536936, 0.000905072
0.264, -0.542439, 0.000787949
0.265, -0.546291, 0.000532253
0.266, -0.539399, 0.000697216
0.267, -0.565415, 0.000477925
0.268, -0.555904, 0.00042754
0.269, -0.570724, 0.000163072
0.27, -0.55856, 0.00128459
0.271, -0.56518, -0.000238798
0.272, -0.571376, -0.000544535
0.273, -0.578116, -0.000382665
0.274, -0.571548, 0.000360697
0.275, -0.563951, 0.000478056
0.276, -0.581292, 0.000453347
0.277, -0.578246, 0.000695733
0.278, -0.585425, 0.0010747
0.279, -0.574477, 0.000800098
0.28, -0.594153, 0.000764596
0.281, -0.578952, 0.000652266
0.282, -0.544258, 0.0011307
0.283, -0.572777, 0.000433888
0.284, -0.600645, 0.000607227
0.285, -0.604156, 0.000682243
