timestep	Fx	Fy
1.075	0.700238	0.0235679
1.08	0.699789	0.0237575
1.085	0.700551	0.0239944
1.09	0.701916	0.0235774
1.095	0.701601	0.023861
1.1	0.70181	0.0238457
1.105	0.702558	0.0239498
1.11	0.703175	0.0238692
1.115	0.703732	0.0241384
1.12	0.704235	0.0241782
1.125	0.705105	0.0237974
1.13	0.705376	0.0237964
1.135	0.696182	0.0252337
1.14	0.701618	0.0242116
1.145	0.703042	0.0235295
1.15	0.705113	0.0238099
1.155	0.706402	0.024053
1.16	0.707141	0.00952848
1.165	0.70861	0.0200004
1.17	0.707946	0.0221308
1.175	0.708563	0.0227946
1.18	0.710171	0.0238555
1.185	0.70898	0.0241987
1.19	0.71014	0.0238063
1.195	0.736375	0.0242184
1.2	0.726328	0.0240746
1.205	0.718441	0.0145481
1.21	0.714791	0.0217207
1.215	0.714497	0.022244
1.22	0.714163	0.0230089
1.225	0.71331	0.0231987
1.23	0.712708	0.0233263
1.235	0.714038	0.0231984
1.24	0.714552	0.0244089
1.245	0.71315	0.0229409
1.25	0.713977	0.0232708
1.255	0.71451	0.0232054
1.26	0.715517	0.0237408
1.265	0.715726	0.0232689
1.27	0.71682	0.0241899
1.275	0.715984	0.0230706
1.28	0.716662	0.0238295
1.285	0.715493	0.0226913
1.29	0.717064	0.0227635
1.295	0.716793	0.0229692
1.3	0.717864	0.0236358
1.305	0.716568	0.0232356
1.31	0.717757	0.0231782
1.315	0.717601	0.012795
1.32	0.718664	0.00464499
1.325	0.718736	0.0186092
1.33	0.719904	0.0210694
1.335	0.719844	0.0224528
1.34	0.719037	0.0226783
1.345	0.719558	0.0228959
1.35	0.72644	0.0120887
1.355	0.722274	0.0205425
1.36	0.721823	0.02179
1.365	0.720955	0.0233957
1.37	0.720619	0.0228386
1.375	0.719758	0.0229405
1.38	0.71986	0.0229609
1.385	0.720946	0.0233877
1.39	0.72023	0.0237119
1.395	0.720441	0.0227885
1.4	0.720576	0.0232263
1.405	0.720822	0.0231048
1.41	0.721008	0.0231564
1.415	0.721944	0.0229756
1.42	0.721704	0.0233258
1.425	0.721203	0.0192821
1.43	0.721145	0.0215612
1.435	0.72142	0.0222424
1.44	0.720804	0.00910703
1.445	0.722029	0.0199503
1.45	0.722131	0.0208707
1.455	0.72292	0.0220056
1.46	0.721814	0.0225209
1.465	0.722421	0.0227111
1.47	0.723075	0.0226799
1.475	0.722003	0.0228965
1.48	0.722232	0.0227245
1.485	0.723123	0.0226232
1.49	0.722058	0.0227014
1.495	0.722334	0.0230026
1.5	0.722439	0.0227305
1.505	0.722614	0.0216455
1.51	0.722521	0.0223078
1.515	0.72226	0.0191526
1.52	0.740373	0.0220167
1.525	0.733932	0.0219943
1.53	0.728382	0.0217438
1.535	0.725488	0.0215749
1.54	0.746671	0.0216521
1.545	0.736425	0.0214729
1.55	0.729535	0.0219215
1.555	0.726081	0.021174
1.56	0.724296	0.021225
1.565	0.723362	0.0210707
1.57	0.722837	0.0207347
1.575	0.722613	0.0208917
1.58	0.722384	0.0208856
1.585	0.722903	0.0204668
1.59	0.722484	0.0210152
1.595	0.721484	0.0208458
1.6	0.721731	0.0209076
1.605	0.721645	0.0206935
1.61	0.721716	0.0205449
1.615	0.737988	0.0207098
1.62	0.731225	0.0209025
1.625	0.726773	0.0201787
1.63	0.723104	0.019908
1.635	0.722281	0.0199622
1.64	0.721315	0.0200531
1.645	0.721258	0.0197261
1.65	0.72093	0.0195996
1.655	0.72109	0.0198227
1.66	0.7204	0.0196308
1.665	0.720189	0.0197865
1.67	0.719944	0.0196472
1.675	0.719833	0.0195478
1.68	0.720783	0.0194471
1.685	0.719271	0.0191323
1.69	0.71937	0.0189535
1.695	0.719324	0.019503
1.7	0.719521	0.0195161
1.705	0.719314	0.0188266
1.71	0.719092	0.0192421
1.715	0.719357	0.0190552
1.72	0.71842	0.0188304
1.725	0.71832	0.0190665
1.73	0.719278	0.0188924
1.735	0.718066	0.0192282
1.74	0.717936	0.0186289
1.745	0.717855	0.0186412
1.75	0.717485	0.0186854
1.755	0.718182	0.0184119
1.76	0.717349	0.0185412
1.765	0.717151	0.0184435
1.77	0.717748	0.0186494
1.775	0.716584	0.0179743
1.78	0.716961	0.0183199
1.785	0.716701	0.0179115
1.79	0.716099	0.0178933
1.795	0.716009	0.0182762
1.8	0.715834	0.0177444
1.805	0.716229	0.017858
1.81	0.716036	0.0175642
1.815	0.714989	0.0184475
1.82	0.714708	0.0170142
1.825	0.715624	0.017382
1.83	0.714541	0.0177938
1.835	0.715243	0.0172799
1.84	0.714052	0.0168393
1.845	0.713901	0.0171916
1.85	0.713888	0.0168892
1.855	0.713781	0.0168986
1.86	0.714168	0.0166823
1.865	0.713066	0.0173056
1.87	0.712992	0.0164304
1.875	0.713256	0.0168643
1.88	0.713168	0.0166246
1.885	0.711885	0.0161894
1.89	0.712825	0.0161413
1.895	0.71179	0.0161594
1.9	0.712056	0.0160647
1.905	0.711402	0.0160656
1.91	0.711214	0.0156287
1.915	0.711135	0.0157307
1.92	0.710639	0.0156268
1.925	0.71121	0.0157613
1.93	0.710452	0.015562
1.935	0.710164	0.0156394
1.94	0.709817	0.0151565
1.945	0.710539	0.0148897
1.95	0.709335	0.0152027
1.955	0.708923	0.0150874
1.96	0.708758	0.0148322
1.965	0.709761	0.014704
1.97	0.7091	0.0145919
1.975	0.708088	0.0147926
1.98	0.707739	0.0140585
1.985	0.707935	0.0143165
1.99	0.707721	0.0140099
1.995	0.707463	0.014473
2	0.707244	0.014091
2.005	0.706988	0.0137157
2.01	0.706509	0.0135004
2.015	0.707253	0.0134985
2.02	0.705815	0.0135383
2.025	0.706667	0.0129589
2.03	0.705478	0.0130673
2.035	0.705994	0.0134342
2.04	0.705567	0.0127397
2.045	0.704975	0.0127463
2.05	0.704768	0.0124203
2.055	0.704766	0.0124516
2.06	0.703527	0.0125683
2.065	0.703847	0.0121574
2.07	0.703427	0.0122725
2.075	0.703425	0.0118861
2.08	0.704067	0.0118993
2.085	0.703434	0.0117286
2.09	0.702999	0.0120506
2.095	0.702015	0.0111766
2.1	0.701731	0.0111793
2.105	0.702597	0.0119895
2.11	0.702114	0.0114224
2.115	0.701055	0.0108486
2.12	0.700736	0.0103934
2.125	0.701575	0.0107914
2.13	0.700454	0.0106451
2.135	0.700308	0.0104286
2.14	0.700792	0.0100474
2.145	0.699394	0.0104657
2.15	0.699694	0.00959643
2.155	0.700031	0.0095763
2.16	0.699297	0.00968203
2.165	0.68172	0.00908915
2.17	0.690465	0.0094045
2.175	0.693413	0.0094429
2.18	0.695665	0.00948426
2.185	0.697363	0.00911021
2.19	0.69665	0.0091082
2.195	0.697245	0.00888788
2.2	0.696828	0.00874163
2.205	0.696799	0.00856876
2.21	0.697402	0.00820428
2.215	0.696188	0.00841899
2.22	0.696142	0.00791577
2.225	0.695924	0.00801866
2.23	0.673116	0.00748267
2.235	0.685039	0.00777136
2.24	0.689862	0.007916
2.245	0.674272	0.00741002
2.25	0.683554	0.0107277
2.255	0.688384	0.00874576
2.26	0.693127	0.00817345
2.265	0.693802	0.00702732
2.27	0.694036	0.00738205
2.275	0.691776	0.00801519
2.28	0.693699	0.00661555
2.285	0.693589	0.00641691
2.29	0.694134	0.00640768
2.295	0.693191	0.00561946
2.3	0.690816	0.00678308
2.305	0.69107	0.00738414
2.31	0.691103	0.00657945
2.315	0.692428	0.0167478
2.32	0.69021	0.00848573
2.325	0.689918	0.0102196
2.33	0.690952	0.00702543
2.335	0.690502	0.0055331
2.34	0.689508	0.00543232
2.345	0.689644	0.00479097
2.35	0.689501	0.00398694
2.355	0.689907	0.00382486
2.36	0.689838	0.00390223
2.365	0.690841	0.00340076
2.37	0.688799	0.00340664
2.375	0.687845	0.00329273
2.38	0.688667	0.00308194
2.385	0.681614	0.0142836
2.39	0.684502	0.00531996
2.395	0.686887	0.00411902
2.4	0.688734	0.00259256
2.405	0.688634	0.00207389
2.41	0.686099	0.0245083
2.415	0.686522	0.00811474
2.42	0.685443	0.0045621
2.425	0.685505	0.00296933
2.43	0.686158	0.001588
2.435	0.685754	0.00191272
2.44	0.684517	0.000956971
2.445	0.684602	0.000964137
2.45	0.684441	0.000167383
2.455	0.684266	-0.000113035
