ts	X	Y	U	V
115	0	0.00189101	1.42949e-316	0.00602212
116	0	0.00192121	1.42949e-316	0.00605882
117	0	0.0019516	1.42949e-316	0.00609582
118	0	0.00198217	1.42949e-316	0.00613234
119	0	0.00201292	1.42949e-316	0.00616982
120	0	0.00204386	1.42949e-316	0.00620518
121	0	0.00207497	1.42949e-316	0.00623981
122	0	0.00210626	1.42949e-316	0.00627613
123	0	0.00213773	1.42949e-316	0.00631183
124	0	0.00216938	1.42949e-316	0.00634539
125	0	0.00220119	1.42949e-316	0.00637957
126	0	0.00223317	1.42949e-316	0.00641356
127	0	0.00226522	1.42949e-316	0.0064055
128	0	0.00229731	1.42949e-316	0.00643038
129	0	0.00232953	1.42949e-316	0.00645994
130	0	0.00236191	1.42949e-316	0.00649137
131	0	0.00239445	1.42949e-316	0.00652337
132	0	0.0024271	1.42949e-316	0.00653878
133	0	0.00245987	1.42949e-316	0.00656633
134	0	0.00249277	1.42949e-316	0.00659544
135	0	0.00252581	1.42949e-316	0.00662179
136	0	0.002559	1.42949e-316	0.0066512
137	0	0.00259233	1.42949e-316	0.00667996
138	0	0.00262579	1.42949e-316	0.0067074
139	0	0.0026594	1.42949e-316	0.00673619
140	0	0.00269316	1.42949e-316	0.0067654
141	0	0.00272706	1.42949e-316	0.00679522
142	0	0.0027611	1.42949e-316	0.0068232
143	0	0.00279526	1.42949e-316	0.00684004
144	0	0.00282952	1.42949e-316	0.00686483
145	0	0.00286392	1.42949e-316	0.00689166
146	0	0.00289844	1.42949e-316	0.00691694
147	0	0.00293309	1.42949e-316	0.00694399
148	0	0.00296787	1.42949e-316	0.00696846
149	0	0.00300278	1.42949e-316	0.00699523
150	0	0.00303782	1.42949e-316	0.00702068
151	0	0.00307299	1.42949e-316	0.00704597
152	0	0.00310825	1.42949e-316	0.00705819
153	0	0.00314359	1.42949e-316	0.00707834
154	0	0.00317904	1.42949e-316	0.00710092
155	0	0.0032146	1.42949e-316	0.0071238
156	0	0.00325027	1.42949e-316	0.00714616
157	0	0.00328606	1.42949e-316	0.00716974
158	0	0.00332197	1.42949e-316	0.0071914
159	0	0.00335797	1.42949e-316	0.00721182
160	0	0.00339409	1.42949e-316	0.00723325
161	0	0.0034303	1.42949e-316	0.00725385
162	0	0.00346663	1.42949e-316	0.0072767
163	0	0.00350307	1.42949e-316	0.00729767
164	0	0.0035396	1.42949e-316	0.00731484
165	0	0.00357622	1.42949e-316	0.00733406
166	0	0.00361293	1.42949e-316	0.00735099
167	0	0.00364973	1.42949e-316	0.00736624
168	0	0.00368659	1.42949e-316	0.0073813
169	0	0.00372353	1.42949e-316	0.00739342
170	0	0.00376053	1.42949e-316	0.00740723
171	0	0.0037976	1.42949e-316	0.00741832
172	0	0.00383472	1.42949e-316	0.00743181
173	0	0.00387175	1.42949e-316	0.00737914
174	0	0.00390863	1.42949e-316	0.00737393
175	0	0.00394551	1.42949e-316	0.00737909
176	0	0.00398243	1.42949e-316	0.00738551
177	0	0.00401938	1.42949e-316	0.00739577
178	0	0.00405638	1.42949e-316	0.00740389
179	0	0.00409342	1.42949e-316	0.00741277
180	0	0.00413051	1.42949e-316	0.00742265
181	0	0.00416764	1.42949e-316	0.00743164
182	0	0.00420482	1.42949e-316	0.00744009
183	0	0.00424204	1.42949e-316	0.00744768
184	0	0.00427929	1.42949e-316	0.00745293
185	0	0.00431657	1.42949e-316	0.00745868
186	0	0.00435388	1.42949e-316	0.00746427
187	0	0.00439122	1.42949e-316	0.00747043
188	0	0.00442858	1.42949e-316	0.00747571
189	0	0.00446597	1.42949e-316	0.00748052
190	0	0.00450329	1.42949e-316	0.00744721
191	0	0.00454052	1.42949e-316	0.00744437
192	0	0.00457774	1.42949e-316	0.00744461
193	0	0.00461497	1.42949e-316	0.00744698
194	0	0.00465222	1.42949e-316	0.00745011
195	0	0.00468947	1.42949e-316	0.00745124
196	0	0.00472673	1.42949e-316	0.00745403
197	0	0.00476401	1.42949e-316	0.0074571
198	0	0.0048013	1.42949e-316	0.00745792
199	0	0.00483859	1.42949e-316	0.00745711
200	0	0.00487587	1.42949e-316	0.00745677
201	0	0.00491315	1.42949e-316	0.0074564
202	0	0.00495041	1.42949e-316	0.00744755
203	0	0.00498764	1.42949e-316	0.00744515
204	0	0.00502487	1.42949e-316	0.00744316
205	0	0.00506196	1.42949e-316	0.00739471
206	0	0.0050989	1.42949e-316	0.0073817
207	0	0.00513579	1.42949e-316	0.00737199
208	0	0.00517262	1.42949e-316	0.00736363
209	0	0.00520943	1.42949e-316	0.00736015
210	0	0.00524622	1.42949e-316	0.00735439
211	0	0.00528298	1.42949e-316	0.00734848
212	0	0.00531971	1.42949e-316	0.00734252
213	0	0.0053564	1.42949e-316	0.0073374
214	0	0.00539307	1.42949e-316	0.00733051
215	0	0.00542971	1.42949e-316	0.00732244
216	0	0.0054663	1.42949e-316	0.0073144
217	0	0.00550285	1.42949e-316	0.00730649
218	0	0.00553936	1.42949e-316	0.0072971
219	0	0.00557582	1.42949e-316	0.00728796
220	0	0.00561224	1.42949e-316	0.00727834
221	0	0.00564861	1.42949e-316	0.00726853
222	0	0.00568492	1.42949e-316	0.00725806
223	0	0.00572119	1.42949e-316	0.00724783
224	0	0.0057574	1.42949e-316	0.00723724
225	0	0.00579356	1.42949e-316	0.00722526
226	0	0.00582965	1.42949e-316	0.00721283
227	0	0.00586569	1.42949e-316	0.00720355
228	0	0.00590168	1.42949e-316	0.00719127
229	0	0.0059376	1.42949e-316	0.00717684
230	0	0.00597345	1.42949e-316	0.00716267
231	0	0.00600923	1.42949e-316	0.00714867
232	0	0.00604484	1.42949e-316	0.00709792
233	0	0.00608027	1.42949e-316	0.00707291
234	0	0.00611558	1.42949e-316	0.00705278
235	0	0.0061508	1.42949e-316	0.00703389
236	0	0.00618593	1.42949e-316	0.00701721
237	0	0.00622097	1.42949e-316	0.00700096
238	0	0.00625594	1.42949e-316	0.0069833
239	0	0.00629081	1.42949e-316	0.00696623
240	0	0.0063256	1.42949e-316	0.00694838
241	0	0.00636023	1.42949e-316	0.00690628
242	0	0.0063947	1.42949e-316	0.00688169
243	0	0.00642905	1.42949e-316	0.00685799
244	0	0.00646329	1.42949e-316	0.00683577
245	0	0.00649741	1.42949e-316	0.00681361
246	0	0.00653142	1.42949e-316	0.00679135
247	0	0.00656532	1.42949e-316	0.00676835
248	0	0.00659911	1.42949e-316	0.00674796
249	0	0.00663279	1.42949e-316	0.00672348
250	0	0.00666635	1.42949e-316	0.00669942
251	0	0.00669978	1.42949e-316	0.00667477
252	0	0.0067331	1.42949e-316	0.00665106
253	0	0.00676629	1.42949e-316	0.00662576
254	0	0.00679936	1.42949e-316	0.00660235
255	0	0.00683231	1.42949e-316	0.00657573
256	0	0.00686512	1.42949e-316	0.00655061
257	0	0.0068978	1.42949e-316	0.00652224
258	0	0.00693034	1.42949e-316	0.00649365
259	0	0.00696274	1.42949e-316	0.00646518
260	0	0.006995	1.42949e-316	0.00643797
261	0	0.00702712	1.42949e-316	0.00640936
262	0	0.00705909	1.42949e-316	0.00638022
263	0	0.00709085	1.42949e-316	0.00632473
264	0	0.00712229	1.42949e-316	0.00624847
265	0	0.00715342	1.42949e-316	0.00620674
266	0	0.00718437	1.42949e-316	0.00617078
267	0	0.00721514	1.42949e-316	0.0061379
268	0	0.00724575	1.42949e-316	0.00610521
269	0	0.00727619	1.42949e-316	0.00607268
270	0	0.00730641	1.42949e-316	0.00601276
271	0	0.00733637	1.42949e-316	0.00597361
272	0	0.00736615	1.42949e-316	0.00593721
273	0	0.00739575	1.42949e-316	0.00590446
274	0	0.00742519	1.42949e-316	0.00586995
275	0	0.00745445	1.42949e-316	0.00583534
276	0	0.00748354	1.42949e-316	0.00580041
277	0	0.00751246	1.42949e-316	0.0057662
278	0	0.0075412	1.42949e-316	0.00573245
279	0	0.00756978	1.42949e-316	0.00569603
280	0	0.00759817	1.42949e-316	0.00566036
281	0	0.00762638	1.42949e-316	0.00562403
282	0	0.00765441	1.42949e-316	0.00558749
283	0	0.00768225	1.42949e-316	0.00555015
284	0	0.00770991	1.42949e-316	0.00551335
285	0	0.00773736	1.42949e-316	0.0054661
286	0	0.00776458	1.42949e-316	0.00542421
287	0	0.0077916	1.42949e-316	0.00538369
288	0	0.00781834	1.42949e-316	0.00531
289	0	0.00784477	1.42949e-316	0.0052631
290	0	0.00787097	1.42949e-316	0.00521817
291	0	0.00789696	1.42949e-316	0.00517576
292	0	0.00792273	1.42949e-316	0.00513432
293	0	0.0079483	1.42949e-316	0.00509304
294	0	0.00797366	1.42949e-316	0.00505137
295	0	0.00799882	1.42949e-316	0.00500993
296	0	0.00802376	1.42949e-316	0.00496775
297	0	0.00804849	1.42949e-316	0.00492501
298	0	0.00807301	1.42949e-316	0.00488217
299	0	0.00809731	1.42949e-316	0.00483978
300	0	0.00812141	1.42949e-316	0.00479641
301	0	0.00814527	1.42949e-316	0.00475004
302	0	0.00816891	1.42949e-316	0.00470503
303	0	0.0081923	1.42949e-316	0.00465184
304	0	0.00821544	1.42949e-316	0.00460553
305	0	0.00823836	1.42949e-316	0.00455888
306	0	0.00826103	1.42949e-316	0.00451132
307	0	0.00828347	1.42949e-316	0.00446306
308	0	0.00830566	1.42949e-316	0.00441473
309	0	0.00832761	1.42949e-316	0.00436567
310	0	0.00834932	1.42949e-316	0.00431747
311	0	0.00837078	1.42949e-316	0.00426714
312	0	0.00839199	1.42949e-316	0.00421667
